Título,URL,Estado,Frecuencia,Tamaño,Hastags,Materia
"Olivarera Ntra. Sra. de la Luna (Villanueva de Córdoba, Córdoba)",https://olivaluna.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
Denominación de origen Montes de Granada,http://domontesdegranada.com,Activa,Anual,Mediano,Aceite de oliva / Denominaciones de origen / Granada,Alimentaria
TIF Granada Festival : festival de artes escénicas para la infancia y la familia (Granada),https://tifgranada.com,Activa,Semestral,Pequeno,Teatro / Festivales / Granada,Arte
"IES José Saramago (Humilladero, Málaga)",http://www.iesjosesaramago.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"CEIP Navas de Tolosa (La Carolina, Jaén)",http://colegiolasnavasdetolosa.over-blog.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
Alhama comarcal,https://alhama.com/digital/medios/alhama-comarcal,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Almería / Andalucía,Prensa
IES Macarena (Sevilla),http://iesmacarena.blogspot.com,Activa,Semestral,Mediano,Educación / Centros docentes / Sevilla,Educación
Red Municipal de Bibliotecas de Sevilla,http://rmbs.es/inicio.php,Activa,Semestral,Mediano,Bibliotecas / Patrimonio bibliográfico y documental / Instituciones culturales / Sevilla,Bibliotecas
"CEIP Ruperto Fernández Tenllado (Rute, Córdoba)",http://ceipruperto.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
"CEIP Virgen del Mar (Albuñol, Granada)",http://virgendelmarlarabita.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
La voz de Torremolinos,https://lavozdetorremolinos.wordpress.com/tag/la-voz-de-torremolinos/,Activa,Semanal,Mediano,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
"Hermandad del Gran Poder (Castilleja de la Cuesta, Sevilla)",https://www.gran-poder.es,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Sevilla,Religión
"IES Zaframagón (Olvera, Cádiz)",https://www.ieszaframagon.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Profesor Tierno Galván (Aljaraque, Huelva)",https://blogsaverroes.juntadeandalucia.es/colegiocorrales/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
